Mysterious Rock,5,-1,-1,-1,-1
Luxury Patterned Fabric,5,-1,-1,-1,-1
Elixir of Youth,5,-1,-1,-1,-1
Portrait of the Ancient,5,-1,-1,-1,-1
102 Year Old Golden Herb,5,-1,-1,-1,-1
Golden Fish Scale,5,-1,-1,-1,-1
Taxidermied White Caterpillar,5,-1,-1,-1,-1
Faded Gold Dragon Figurine,5,-1,-1,-1,-1
Supreme Gold Candlestick,5,-1,-1,-1,-1
Statue's Tear,5,-1,-1,-1,-1
Taxidermied Morpho Butterfly,5,-1,-1,-1,-1
Azure Quartz,5,-1,-1,-1,-1
37 Year Old Herbal Wine,5,-1,-1,-1,-1
Octagonal Box,5,-1,-1,-1,-1
Pirate's Key,4,-1,-1,-1,-1
Bronze Candlestick,4,-1,-1,-1,-1
Headless Dragon Figurine,4,-1,-1,-1,-1
Panacea,4,-1,-1,-1,-1
Seashell Deco,4,-1,-1,-1,-1
Old Chest with Gold Coins,4,-1,-1,-1,-1
Boatman's Manual,4,-1,-1,-1,-1
Green Salt Lump,4,-1,-1,-1,-1
Solidified Lava,4,-1,-1,-1,-1
Marine Knights' Spear,4,-1,-1,-1,-1
Amethyst Fragment,4,-1,-1,-1,-1
Opulent Thread Spool,4,-1,-1,-1,-1
Stolen Pirate Dagger,4,-1,-1,-1,-1
Marine Knights' Helm,4,-1,-1,-1,-1
Blue Candle Bundle,3,-1,-1,-1,-1
Ancient Orders,3,-1,-1,-1,-1
Lopters Fishnet,3,-1,-1,-1,-1
Rare Herb Pile,3,-1,-1,-1,-1
Skull Symbol Carpet,3,-1,-1,-1,-1
Weasel Leather Coat,3,-1,-1,-1,-1
Gooey Monster Blood,3,-1,-1,-1,-1
Round Knife,3,-1,-1,-1,-1
Skull Decorated Teacup,3,-1,-1,-1,-1
Stalactite Fragment,3,-1,-1,-1,-1
Scout Binoculars,3,-1,-1,-1,-1
Pirates' Supply Box,3,-1,-1,-1,-1
Torn Pirate Treasure Map,3,-1,-1,-1,-1
Old Hourglass,3,-1,-1,-1,-1
Urchin Spine,2,-1,-1,-1,-1
Pirate Gold Coin,2,-1,-1,-1,-1
Monster Tentacle,2,-1,-1,-1,-1
Sea Survival Kit,2,-1,-1,-1,-1
Balanced Stone Pagoda,2,-1,-1,-1,-1
Narvo Sea Cucumber,2,-1,-1,-1,-1
Big Stone Slab,2,-1,-1,-1,-1
Supreme Oyster Box,2,-1,-1,-1,-1
Conch Shell Ornament,2,-1,-1,-1,-1
Filtered Drinking Water,2,-1,-1,-1,-1
Opulent Marble,2,-1,-1,-1,-1
Pirate Ship Mast,2,-1,-1,-1,-1
Cron Castle Gold Coin,2,-1,-1,-1,-1
Islanders' Lunchbox,2,-1,-1,-1,-1
Pirates' Gunpowder,1,-1,-1,-1,-1
Fertile Soil,1,-1,-1,-1,-1
Rakeflower Seed Pouch,1,-1,-1,-1,-1
Roa Flower Seed Pouch,1,-1,-1,-1,-1
Golden Sand,1,-1,-1,-1,-1
Cherry Tree Seed Pouch,1,-1,-1,-1,-1
Unidentified Ancient Mural,1,-1,-1,-1,-1
Ancient Urn Piece,1,-1,-1,-1,-1
Chewy Raw Gizzard,1,-1,-1,-1,-1
Raft Toy,1,-1,-1,-1,-1
Stained Seagull Figurine,1,-1,-1,-1,-1
Naval Ration,1,-1,-1,-1,-1
Giant Fish Bone,1,-1,-1,-1,-1
Dried Blue Rose,1,-1,-1,-1,-1